Geography_Name,Geography_Level,Demographic_Level,Demographic_Name,Indicator_Label,Indicator Category Label,Influenza_Season,Month_Week,Week_Ending,Current_Season_Week_Ending_Label,Point_Estimate,CI_HalfWidth,n_unweighted,n_weighted,Suppression_Flag,Legend_Label,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,geography_name_order,geography_level_sort_order,Season_Sort,Legend_Sort
Illinois-City of Chicago,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3712,8.4514,367,802609,0,"2023-2024, Illinois-City of Chicago. Overall (6 months-17 years)",28.7 - 45.6,1,1,1,66,4,1,1660101
Illinois-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1944,3.113,1279,5128571,0,"2023-2024, Illinois-Rest of State. Overall (6 months-17 years)",16.3 - 22.6,1,1,1,67,4,1,1670101
Illinois-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2228,3.4897,1279,3465677,0,"2023-2024, Illinois-Rest of State. Overall (6 months-17 years)",18.8 - 25.8,1,1,1,67,4,1,1670101
Illinois-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2565,3.8631,1279,2258311,0,"2023-2024, Illinois-Rest of State. Overall (6 months-17 years)",21.8 - 29.5,1,1,1,67,4,1,1670101
Illinois-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2627,3.9676,1279,2960660,0,"2023-2024, Illinois-Rest of State. Overall (6 months-17 years)",22.3 - 30.2,1,1,1,67,4,1,1670101
Illinois-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3592,4.7142,1279,2467769,0,"2023-2024, Illinois-Rest of State. Overall (6 months-17 years)",31.2 - 40.6,1,1,1,67,4,1,1670101
Illinois-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3783,4.8896,1279,2777424,0,"2023-2024, Illinois-Rest of State. Overall (6 months-17 years)",32.9 - 42.7,1,1,1,67,4,1,1670101
New York-New York City,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2583,5.7489,716,984869,0,"2023-2024, New York-New York City. Overall (6 months-17 years)",20.1 - 31.6,1,1,1,68,4,1,1680101
New York-New York City,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2757,5.5237,716,1613746,0,"2023-2024, New York-New York City. Overall (6 months-17 years)",22.1 - 33.1,1,1,1,68,4,1,1680101
New York-New York City,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2851,5.4839,716,2046005,0,"2023-2024, New York-New York City. Overall (6 months-17 years)",23.0 - 34.0,1,1,1,68,4,1,1680101
New York-New York City,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2927,5.6895,716,1108235,0,"2023-2024, New York-New York City. Overall (6 months-17 years)",23.6 - 35.0,1,1,1,68,4,1,1680101
New York-New York City,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.4427,7.1468,716,1320590,0,"2023-2024, New York-New York City. Overall (6 months-17 years)",37.1 - 51.4,1,1,1,68,4,1,1680101
New York-New York City,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4427,7.1468,716,1363843,0,"2023-2024, New York-New York City. Overall (6 months-17 years)",37.1 - 51.4,1,1,1,68,4,1,1680101
New York-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1719,3.3324,819,2316103,0,"2023-2024, New York-Rest of State. Overall (6 months-17 years)",13.9 - 20.5,1,1,1,69,4,1,1690101
New York-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1719,3.3324,819,1834454,0,"2023-2024, New York-Rest of State. Overall (6 months-17 years)",13.9 - 20.5,1,1,1,69,4,1,1690101
New York-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.1719,3.3324,819,2063279,0,"2023-2024, New York-Rest of State. Overall (6 months-17 years)",13.9 - 20.5,1,1,1,69,4,1,1690101
New York-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.1719,3.3324,819,2351008,0,"2023-2024, New York-Rest of State. Overall (6 months-17 years)",13.9 - 20.5,1,1,1,69,4,1,1690101
New York-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.375,5.9614,819,2388632,0,"2023-2024, New York-Rest of State. Overall (6 months-17 years)",31.5 - 43.5,1,1,1,69,4,1,1690101
New York-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3822,5.7314,819,2788299,0,"2023-2024, New York-Rest of State. Overall (6 months-17 years)",32.5 - 43.9,1,1,1,69,4,1,1690101
Pennsylvania-Philadelphia County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2743,7.1995,623,247492,0,"2023-2024, Pennsylvania-Philadelphia County. Overall (6 months-17 years)",20.2 - 34.6,1,1,1,70,4,1,1700101
Pennsylvania-Philadelphia County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2814,6.4901,623,313881,0,"2023-2024, Pennsylvania-Philadelphia County. Overall (6 months-17 years)",21.6 - 34.6,1,1,1,70,4,1,1700101
Pennsylvania-Philadelphia County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2894,6.4551,623,253879,0,"2023-2024, Pennsylvania-Philadelphia County. Overall (6 months-17 years)",22.5 - 35.4,1,1,1,70,4,1,1700101
Pennsylvania-Philadelphia County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.303,6.8395,623,240687,0,"2023-2024, Pennsylvania-Philadelphia County. Overall (6 months-17 years)",23.5 - 37.1,1,1,1,70,4,1,1700101
Pennsylvania-Philadelphia County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3909,8.4043,623,325267,0,"2023-2024, Pennsylvania-Philadelphia County. Overall (6 months-17 years)",30.7 - 47.5,1,1,1,70,4,1,1700101
Pennsylvania-Philadelphia County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3909,8.4043,623,207180,0,"2023-2024, Pennsylvania-Philadelphia County. Overall (6 months-17 years)",30.7 - 47.5,1,1,1,70,4,1,1700101
Pennsylvania-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2098,4.0473,839,1454937,0,"2023-2024, Pennsylvania-Rest of State. Overall (6 months-17 years)",16.9 - 25.0,1,1,1,71,4,1,1710101
Pennsylvania-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2154,3.9639,839,1662255,0,"2023-2024, Pennsylvania-Rest of State. Overall (6 months-17 years)",17.6 - 25.5,1,1,1,71,4,1,1710101
Pennsylvania-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.3238,7.4304,839,1423652,0,"2023-2024, Pennsylvania-Rest of State. Overall (6 months-17 years)",25.0 - 39.8,1,1,1,71,4,1,1710101
Pennsylvania-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.3615,9.0222,839,1905460,0,"2023-2024, Pennsylvania-Rest of State. Overall (6 months-17 years)",27.1 - 45.2,1,1,1,71,4,1,1710101
Pennsylvania-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3846,4.9013,839,2624748,0,"2023-2024, Pennsylvania-Rest of State. Overall (6 months-17 years)",33.6 - 43.4,1,1,1,71,4,1,1710101
Pennsylvania-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4023,5.1604,839,1996454,0,"2023-2024, Pennsylvania-Rest of State. Overall (6 months-17 years)",35.1 - 45.4,1,1,1,71,4,1,1710101
Texas-Bexar County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2051,4.4938,603,1003202,0,"2023-2024, Texas-Bexar County. Overall (6 months-17 years)",16.0 - 25.0,1,1,1,72,4,1,1720101
Texas-Bexar County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2099,4.4432,603,1003433,0,"2023-2024, Texas-Bexar County. Overall (6 months-17 years)",16.5 - 25.4,1,1,1,72,4,1,1720101
Texas-Bexar County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2279,4.572,603,1140420,0,"2023-2024, Texas-Bexar County. Overall (6 months-17 years)",18.2 - 27.4,1,1,1,72,4,1,1720101
Texas-Bexar County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2622,6.0461,603,1045811,0,"2023-2024, Texas-Bexar County. Overall (6 months-17 years)",20.2 - 32.3,1,1,1,72,4,1,1720101
Texas-Bexar County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3848,7.4258,603,1260575,0,"2023-2024, Texas-Bexar County. Overall (6 months-17 years)",31.1 - 45.9,1,1,1,72,4,1,1720101
Texas-Bexar County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4174,8.0565,603,1018937,0,"2023-2024, Texas-Bexar County. Overall (6 months-17 years)",33.7 - 49.8,1,1,1,72,4,1,1720101
Texas-City of Houston,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.2439,5.136,532,1247430,0,"2023-2024, Texas-City of Houston. Overall (6 months-17 years)",19.3 - 29.5,1,1,1,73,4,1,1730101
Texas-City of Houston,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.2467,5.0951,532,774772,0,"2023-2024, Texas-City of Houston. Overall (6 months-17 years)",19.6 - 29.8,1,1,1,73,4,1,1730101
Texas-City of Houston,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2608,5.2371,532,1293956,0,"2023-2024, Texas-City of Houston. Overall (6 months-17 years)",20.8 - 31.3,1,1,1,73,4,1,1730101
Texas-City of Houston,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2676,5.4062,532,1422545,0,"2023-2024, Texas-City of Houston. Overall (6 months-17 years)",21.4 - 32.2,1,1,1,73,4,1,1730101
Texas-City of Houston,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.4222,8.0522,532,940202,0,"2023-2024, Texas-City of Houston. Overall (6 months-17 years)",34.2 - 50.3,1,1,1,73,4,1,1730101
Texas-City of Houston,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.4409,8.2999,532,1495251,0,"2023-2024, Texas-City of Houston. Overall (6 months-17 years)",35.8 - 52.4,1,1,1,73,4,1,1730101
Texas-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.1488,2.9448,832,1855915,0,"2023-2024, Texas-Rest of State. Overall (6 months-17 years)",11.9 - 17.8,1,1,1,74,4,1,1740101
Texas-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.1599,3.2438,832,2109131,0,"2023-2024, Texas-Rest of State. Overall (6 months-17 years)",12.7 - 19.2,1,1,1,74,4,1,1740101
Texas-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.2158,4.6365,832,2950917,0,"2023-2024, Texas-Rest of State. Overall (6 months-17 years)",16.9 - 26.2,1,1,1,74,4,1,1740101
Texas-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.2319,5.2762,832,3562840,0,"2023-2024, Texas-Rest of State. Overall (6 months-17 years)",17.9 - 28.5,1,1,1,74,4,1,1740101
Texas-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.3041,5.1715,832,5298149,0,"2023-2024, Texas-Rest of State. Overall (6 months-17 years)",25.2 - 35.6,1,1,1,74,4,1,1740101
Texas-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.3129,5.2701,832,4165800,0,"2023-2024, Texas-Rest of State. Overall (6 months-17 years)",26.0 - 36.6,1,1,1,74,4,1,1740101
Wisconsin,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3283,8.8507,485,401464,0,"2023-2024, Wisconsin. Overall (6 months-17 years)",24.0 - 41.7,1,1,1,64,3,1,1640101
Illinois-City of Chicago,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,367,536486,1,"2023-2024, Illinois-City of Chicago. Overall (6 months-17 years)", - ,1,1,1,66,4,1,1660101
New York-New York City,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4494,7.1153,716,809086,0,"2023-2024, New York-New York City. Overall (6 months-17 years)",37.8 - 52.1,1,1,1,68,4,1,1680101
Pennsylvania-Philadelphia County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,623,60173,1,"2023-2024, Pennsylvania-Philadelphia County. Overall (6 months-17 years)", - ,1,1,1,70,4,1,1700101
Texas-City of Houston,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.445,8.276,532,1745961,0,"2023-2024, Texas-City of Houston. Overall (6 months-17 years)",36.2 - 52.8,1,1,1,73,4,1,1730101
Pennsylvania-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4222,5.5008,839,2422229,0,"2023-2024, Pennsylvania-Rest of State. Overall (6 months-17 years)",36.7 - 47.7,1,1,1,71,4,1,1710101
Texas-Bexar County,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.43,8.1354,603,1329184,0,"2023-2024, Texas-Bexar County. Overall (6 months-17 years)",34.9 - 51.1,1,1,1,72,4,1,1720101
Texas-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.32,5.386,832,4710103,0,"2023-2024, Texas-Rest of State. Overall (6 months-17 years)",26.6 - 37.4,1,1,1,74,4,1,1740101
West Virginia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3469,6.4684,833,391266,0,"2023-2024, West Virginia. Overall (6 months-17 years)",28.2 - 41.2,1,1,1,63,3,1,1630101
Wyoming,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3222,12.0724,468,49234,0,"2023-2024, Wyoming. Overall (6 months-17 years)",20.1 - 44.3,1,1,1,65,3,1,1650101
Tennessee,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,309,1145047,1,"2023-2024, Tennessee. Overall (6 months-17 years)", - ,1,1,1,56,3,1,1560101
Illinois-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3985,5.2617,1279,3327389,0,"2023-2024, Illinois-Rest of State. Overall (6 months-17 years)",34.6 - 45.1,1,1,1,67,4,1,1670101
Utah,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,292,291733,1,"2023-2024, Utah. Overall (6 months-17 years)", - ,1,1,1,59,3,1,1590101
Vermont,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4742,15.5057,311,37170,0,"2023-2024, Vermont. Overall (6 months-17 years)",31.9 - 62.9,1,1,1,60,3,1,1600101
Oklahoma,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.305,7.5346,693,808786,0,"2023-2024, Oklahoma. Overall (6 months-17 years)",23.0 - 38.0,1,1,1,49,3,1,1490101
Oregon,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.2868,5.4094,584,1448593,0,"2023-2024, Oregon. Overall (6 months-17 years)",23.3 - 34.1,1,1,1,50,3,1,1500101
Virginia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4495,5.06,1324,2409394,0,"2023-2024, Virginia. Overall (6 months-17 years)",39.9 - 50.0,1,1,1,61,3,1,1610101
Puerto Rico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.1966,4.1006,930,508671,0,"2023-2024, Puerto Rico. Overall (6 months-17 years)",15.6 - 23.8,1,1,1,52,3,1,1520101
New Jersey,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4196,5.5442,995,2342534,0,"2023-2024, New Jersey. Overall (6 months-17 years)",36.4 - 47.5,1,1,1,43,3,1,1430101
New York-Rest of State,Substate,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3962,5.7137,819,2654221,0,"2023-2024, New York-Rest of State. Overall (6 months-17 years)",33.9 - 45.3,1,1,1,69,4,1,1690101
New Mexico,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3275,6.357,940,1054741,0,"2023-2024, New Mexico. Overall (6 months-17 years)",26.4 - 39.1,1,1,1,44,3,1,1440101
New York,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4188,4.5742,1535,3463308,0,"2023-2024, New York. Overall (6 months-17 years)",37.3 - 46.5,1,1,1,45,3,1,1450101
Rhode Island,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4402,14.2993,355,47448,0,"2023-2024, Rhode Island. Overall (6 months-17 years)",29.7 - 58.3,1,1,1,53,3,1,1530101
Idaho,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.2875,9.4471,414,171727,0,"2023-2024, Idaho. Overall (6 months-17 years)",19.3 - 38.2,1,1,1,25,3,1,1250101
North Dakota,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,454,107458,1,"2023-2024, North Dakota. Overall (6 months-17 years)", - ,1,1,1,47,3,1,1470101
South Carolina,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3068,6.0491,801,3442467,0,"2023-2024, South Carolina. Overall (6 months-17 years)",24.6 - 36.7,1,1,1,54,3,1,1540101
Region 7,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3522,5.66,1940,3174449,0,"2023-2024, Region 7. Overall (6 months-17 years)",29.6 - 40.9,1,1,1,8,2,1,1080101
Region 10,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.3302,5.317,1939,3044818,0,"2023-2024, Region 10. Overall (6 months-17 years)",27.7 - 38.3,1,1,1,11,2,1,1110101
National,National,Mother's Education,>= College degree,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.4446,1.9565,18064,33350239,0,"2023-2024, National. Mother's Education: >= College degree",42.5 - 46.4,1,3,13,1,1,1,1010313
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.32,1.9256,10568,25732158,0,"2023-2024, National. Age: 12-17 years",30.1 - 33.9,1,2,7,1,1,1,1010207
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.307,2.1055,8167,21498935,0,"2023-2024, National. Age: 13-17 years",28.6 - 32.8,1,2,9,1,1,1,1010209
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3814,2.0305,13542,27964898,0,"2023-2024, National. Age: 5-11 years",36.1 - 40.2,1,2,6,1,1,1,1010206
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3827,1.8724,15943,32198121,0,"2023-2024, National. Age: 5-12 years",36.4 - 40.1,1,2,8,1,1,1,1010208
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3537,1.4327,24110,53697056,0,"2023-2024, National. Age: 5-17 years",33.9 - 36.8,1,2,5,1,1,1,1010205
National,National,Age,6 months-4 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.4374,2.2974,11901,16814883,0,"2023-2024, National. Age: 6 months-4 years",41.4 - 46.0,1,2,3,1,1,1,1010203
National,National,Age,6-23 months,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.5238,4.3186,3800,5391281,0,"2023-2024, National. Age: 6-23 months",48.1 - 56.7,1,2,4,1,1,1,1010204
National,National,Mother's Education,High school or equivalent,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3155,2.6422,5889,11960983,0,"2023-2024, National. Mother's Education: High school or equivalent",28.9 - 34.2,1,3,11,1,1,1,1010311
National,National,Mother's Education,Less than high school,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3126,4.0049,2035,5817604,0,"2023-2024, National. Mother's Education: Less than high school",27.3 - 35.3,1,3,10,1,1,1,1010310
National,National,Mother's Education,Some college,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.2798,2.194,7985,15836613,0,"2023-2024, National. Mother's Education: Some college",25.8 - 30.2,1,3,12,1,1,1,1010312
National,National,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3737,1.2394,36011,70511939,0,"2023-2024, National. Overall (6 months-17 years)",36.1 - 38.6,1,1,1,1,1,1,1010101
National,National,Poverty Status,"Above Poverty, Income < $75k",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3108,2.3223,8187,16679180,0,"2023-2024, National. Poverty Status: Above Poverty, Income < $75k",28.8 - 33.4,1,4,15,1,1,1,1010415
National,National,Poverty Status,"Above Poverty, Income >= $75k",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.4168,1.8567,18796,33892667,0,"2023-2024, National. Poverty Status: Above Poverty, Income >= $75k",39.8 - 43.5,1,4,14,1,1,1,1010414
National,National,Poverty Status,Below Poverty,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.324,2.9449,4405,10624993,0,"2023-2024, National. Poverty Status: Below Poverty",29.5 - 35.3,1,4,16,1,1,1,1010416
National,National,Poverty Status,Poverty Status Unknown,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3558,3.2625,4623,9315100,0,"2023-2024, National. Poverty Status: Poverty Status Unknown",32.3 - 38.8,1,4,17,1,1,1,1010417
National,National,Race/Ethnicity,"Black, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3002,2.9529,3547,9799285,0,"2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",27.1 - 33.0,1,5,18,1,1,1,1010518
National,National,Race/Ethnicity,Hispanic,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3882,2.5284,7345,18255046,0,"2023-2024, National. Race/Ethnicity: Hispanic",36.3 - 41.3,1,5,19,1,1,1,1010519
National,National,Race/Ethnicity,"Other, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3999,3.3032,5395,7986790,0,"2023-2024, National. Race/Ethnicity: Other, Non-Hispanic",36.7 - 43.3,1,5,21,1,1,1,1010521
National,National,Race/Ethnicity,"White, Non-Hispanic",4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3767,1.7778,19724,34470818,0,"2023-2024, National. Race/Ethnicity: White, Non-Hispanic",35.9 - 39.4,1,5,20,1,1,1,1010520
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.269,2.7315,5818,8082884,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",24.2 - 29.6,1,6,22,1,1,1,1010622
National,National,Urbanicity,Suburban (MSA Non-Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.3753,1.7297,18010,38928260,0,"2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)",35.8 - 39.3,1,6,23,1,1,1,1010623
National,National,Urbanicity,Urban (MSA Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 3,2023-11-18,2023-11-18,0.4066,2.1675,12183,23500795,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",38.5 - 42.8,1,6,24,1,1,1,1010624
